transaction_id,Date,store_id,store_location,product_id,product_name,category,quantity_sold,unit_price,total_sales,payment_method
109,11/18/2025,8,Maunuri,8992,curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu,Home & Kitchen,3,59.84,179.52,Mobile Payment
110,10/18/2025,7,Xincheng,4561,cras mi pede malesuada in imperdiet et commodo vulputate justo,Sports,6,96.16,576.96,Credit Card
111,4/22/2025,10,Waiwejak,9919,ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in,Clothing,7,99.05,693.35,Debit Card
112,3/6/2026,6,Lakatoro,3004,augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula,Beauty,5,160.91,804.55,Cash
113,4/12/2026,3,New Cebu,2612,amet lobortis sapien sapien non mi integer ac neque duis,Electronics,14,465.18,6512.52,Debit Card
114,12/18/2025,4,Yajiang,1821,orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio,Home & Kitchen,14,471.93,6607.02,Credit Card
115,7/17/2025,1,Kampungbaru,3125,integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus,Beauty,6,475.37,2852.22,Credit Card
116,2/25/2026,9,Liandu,3895,in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis,Electronics,19,21.14,401.66,Credit Card
117,6/28/2025,3,Timrå,2716,ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue,Clothing,7,229.51,1606.57,Mobile Payment
118,1/18/2026,5,General Vedia,5843,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam,Home & Kitchen,10,441.01,4410.1,Mobile Payment
119,5/3/2025,3,Gushan,4089,erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate,Electronics,4,20.99,83.96,Mobile Payment
120,4/17/2026,7,Glasgow,7918,tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet,Beauty,12,187.73,2252.76,Debit Card
121,6/22/2025,1,Leninogorsk,2426,donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam,Clothing,15,236.93,3553.95,Debit Card
122,1/17/2026,2,Al Qanāyāt,7525,et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor,Beauty,20,398.62,7972.4,Credit Card
123,4/21/2026,5,Marseille,5895,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti,Electronics,11,188.71,2075.81,Mobile Payment
124,1/26/2026,10,Malaga,1652,duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris,Clothing,14,413.49,5788.86,Debit Card
125,6/11/2025,5,Přimda,1797,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis,Electronics,18,495.66,8921.88,Debit Card
126,12/20/2025,10,Thatèng,8691,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing,Clothing,11,298.15,3279.65,Mobile Payment
127,5/5/2025,3,Bapska,7774,vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient,Home & Kitchen,16,393.59,6297.44,Debit Card
128,10/4/2025,3,Krajan,1585,aliquet at feugiat non pretium quis lectus suspendisse potenti in,Sports,7,62.89,440.23,Credit Card
129,10/24/2025,2,Извор,6850,suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis,Home & Kitchen,15,157.67,2365.05,Mobile Payment
130,12/10/2025,1,Heshi,4324,elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus,Clothing,19,460.4,8747.6,Debit Card
131,12/24/2025,7,Otterburn Park,7915,sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices,Home & Kitchen,18,320.14,5762.52,Credit Card
132,9/4/2025,7,Zyryanovsk,7973,donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet,Clothing,19,222.57,4228.83,Credit Card
133,9/14/2025,7,Viana do Alentejo,8568,nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse,Sports,12,475.76,5709.12,Credit Card
134,5/22/2025,6,Pljevlja,2728,nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum,Beauty,17,352.48,5992.16,Cash
135,9/20/2025,7,Baolin,3815,arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget,Beauty,1,495.35,495.35,Mobile Payment
136,3/1/2026,5,Changdai,5670,orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at,Sports,8,325.17,2601.36,Cash
137,2/16/2026,10,Xixiang,7145,ante ipsum primis in faucibus orci luctus et ultrices posuere,Sports,10,284.95,2849.5,Mobile Payment
138,7/29/2025,6,Rathdrum,5281,et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi,Beauty,12,281.99,3383.88,Debit Card
139,12/23/2025,10,Huikou,1935,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras,Clothing,13,82.52,1072.76,Debit Card
140,1/18/2026,8,Yedogon,8659,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel,Home & Kitchen,19,246.39,4681.41,Credit Card
141,5/24/2025,7,Lamía,7145,et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio,Electronics,13,196.33,2552.29,Mobile Payment
142,11/9/2025,10,Cunliji,9047,viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui,Electronics,17,454.03,7718.51,Debit Card
143,10/16/2025,8,Hroznětín,7313,elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla,Beauty,8,346.76,2774.08,Cash
144,2/10/2026,4,Araci,5296,ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam,Sports,2,294.21,588.42,Credit Card
145,12/24/2025,1,Micheng,9829,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes,Home & Kitchen,10,282.63,2826.3,Mobile Payment
146,6/16/2025,10,Biliri,4655,in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed,Clothing,7,306.66,2146.62,Cash
147,3/1/2026,3,Kungsör,2850,augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in,Electronics,14,52.6,736.4,Credit Card
148,4/6/2025,5,Managua,7649,proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel,Beauty,6,306.87,1841.22,Debit Card
149,7/29/2025,8,Wajir,5035,libero nam dui proin leo odio porttitor id consequat in consequat,Electronics,8,232.21,1857.68,Cash
150,11/16/2025,10,São João dos Montes,3463,eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla,Beauty,11,322.94,3552.34,Debit Card
151,10/7/2025,3,Arari,1858,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit,Beauty,7,175.83,1230.81,Debit Card
152,9/26/2025,6,Frýdek-Místek,1585,potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis,Sports,2,256.85,513.7,Credit Card
153,6/14/2025,10,Felgueiras,9893,faucibus cursus urna ut tellus nulla ut erat id mauris vulputate,Beauty,5,365.35,1826.75,Credit Card
154,10/14/2025,2,Bato,4131,ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor,Home & Kitchen,12,143.04,1716.48,Cash
155,4/6/2025,4,Piraí do Sul,1599,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id,Home & Kitchen,6,106.59,639.54,Debit Card
156,3/4/2026,1,Kalisari,8969,neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet,Electronics,8,309.91,2479.28,Cash
157,1/12/2026,5,Xianchiyu,8812,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse,Sports,2,421.43,842.86,Credit Card
158,5/2/2026,4,Novotitarovskaya,4247,nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus,Home & Kitchen,16,166.66,2666.56,Mobile Payment
159,2/15/2026,5,Ugljan,4169,lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum,Home & Kitchen,8,134.33,1074.64,Credit Card
160,1/27/2026,6,Yangyuan,6233,justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare,Beauty,1,240.69,240.69,Debit Card
161,8/12/2025,7,Bakuriani,9693,pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum,Sports,11,251.42,2765.62,Debit Card
162,4/14/2026,6,كاف الجاع,4657,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis,Sports,3,99.5,298.5,Credit Card
163,11/9/2025,2,Libertad,4905,sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus,Sports,10,37.47,374.7,Debit Card
